Assets, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Cash and cash equivalent,,,,,,,,,,,,,,,"4,639,908","7,152,662",1.0,6.0,"10,420,849,044.65","7,092,139,645.63","6,801,855,685","5,443,907,926","4,965,060,653","5,772,299,021","8,583,598,797","8,322,889,081","6,528,388,522","10,168,043,324","13,503,715,142","6,687,550,056","6,418,943,689","9,548,993,323","8,212,024,470","13,941,953,618"
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,3.0,"10,178,321,130.70","8,103,344,708.81","3,999,667,905","3,234,235,126","2,472,897,959","9,406,860,090","11,405,487,570","6,887,751,254","6,803,871,032","5,749,046,509","5,244,527,077","5,823,114,708","6,841,253,290","8,320,630,143","12,122,033,693","9,321,608,814"
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,4.0,"5,427,675,000.00","6,264,500,000.00","6,384,500,000","6,518,242,200","6,117,450,000","5,682,507,188","5,347,150,000","4,833,091,400","4,319,424,975","4,305,674,279","1,578,057,866","2,230,409,925","491,033,317","506,432,245","1,109,122,215","606,652,546"
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,588,543",,,,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,3.0,"3,303,280,249.74","4,286,718,544.12","4,096,541,990","4,161,207,733","3,223,295,833","5,353,619,906","3,465,516,282","5,160,437,481","6,558,466,579","6,737,534,706","6,801,817,555","6,622,804,609","6,159,622,876","6,086,580,235","7,372,223,170","5,717,674,446"
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,232,390,305","12,333,694,935",,,,,,
Investment securities,,,,,,,,,,,,,,,"21,511,119",1,1.0,,,,,,,,,,,,,,,,,
Current tax assets,,,,,,,,,,,,,,,,,,8.0,"980,408,966.97","824,398,633.13","1,296,974,709","1,128,932,039","1,522,344,597","1,320,732,073","1,518,467,228","1,475,223,327","1,615,663,492","1,392,762,369","1,541,342,225","1,765,011,987","1,818,798,367","1,582,230,295","1,896,894,681","2,238,798,232"
Property and equipment,,,,,,,,,,,,,,,"29,229",,,,,,,,,,,,"231,922,247","98,745,838",,,,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,2.0,"25,527,646.45","29,125,970.54","31,610,793","31,411,865","39,450,687","36,818,239","36,557,871","34,546,984","45,836,534","42,657,818","64,520,255","57,626,166","35,435,219","34,682,913","31,054,439","35,021,215"
Other assets,"11,790,448","9,924,652","10,260,090","11,143,553","11,836,569","8,993,303",1,"10,907,471",1,"13,915,643","6,460,712","13,342,387","6,449,462","9,754,898","12,912,279",1,2.0,,"14,670,455,415.09","8,680,979,007.93","9,905,000,571","13,930,834,716",,,,,"11,232,601,423","6,925,387,070","4,596,835,058","9,997,427,819","9,970,294,759","9,739,381,496","11,390,126,688","9,308,797,099"
Total Assets,"83,443,256","79,521,488","82,740,974","86,386,830","86,359,835","91,365,061",1,"108,368,920",1,"106,284,193","112,705,481","121,082,821","113,023,503",1,"138,604,351",1,1.0,1.0,"165,911,379,179","156,211,362,678","163,820,359,837","169,339,976,791","190,426,555,654","195,037,783,579","207,307,933,437","211,410,851,040","222,617,304,101","232,529,441,039","241,174,513,481","245,267,401,686","259,502,396,331","252,456,185,921","262,762,914,518","278,768,136,175"
